location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Glenpool,Tulsa,US,2017-02-25T19:00:00.000Z,2017-02-25T13:00:00-06:00,pm25,4.3,µg/m³,35.9525,-96.0033,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Oklahoma Department of Environmental Quality""}]"
Eugene - Amazon Park,Eugene-Springfield,US,2017-02-25T19:00:00.000Z,2017-02-25T11:00:00-08:00,pm25,6.8,µg/m³,44.0263,-123.08377,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Lane Regional Air Protection Agency""}]"
KITT,Pittsburgh,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,13.6,µg/m³,40.8142,-79.565,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
BEAV,Pittsburgh,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,5.3,µg/m³,40.747799,-80.316704,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
Hillcrest HS,Springfield,US,2017-02-25T19:00:00.000Z,2017-02-25T13:00:00-06:00,pm25,4.2,µg/m³,37.256069,-93.299692,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Missouri Department of Natural Resources""}]"
ARNOLD,St. Louis,US,2017-02-25T19:00:00.000Z,2017-02-25T13:00:00-06:00,pm25,6.9,µg/m³,38.448581,-90.398436,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Missouri Department of Natural Resources""}]"
Ladue,St. Louis,US,2017-02-25T19:00:00.000Z,2017-02-25T13:00:00-06:00,pm25,10.1,µg/m³,38.650259,-90.350463,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Missouri Department of Natural Resources""}]"
BROADWAY (South),St. Louis,US,2017-02-25T19:00:00.000Z,2017-02-25T13:00:00-06:00,pm25,1,µg/m³,38.5425,-90.263611,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Missouri Department of Natural Resources""}]"
NCORE,Omaha-Council Bluffs,US,2017-02-25T19:00:00.000Z,2017-02-25T13:00:00-06:00,pm25,9,µg/m³,41.2474,-95.9731,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Douglas County Health Department (Omaha)""}]"
Jean,Las Vegas-Paradise,US,2017-02-25T19:00:00.000Z,2017-02-25T11:00:00-08:00,pm25,1.4,µg/m³,35.785672,-115.357047,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Clark County Department of Air Quality""}]"
J. D. Smith,Las Vegas-Paradise,US,2017-02-25T19:00:00.000Z,2017-02-25T11:00:00-08:00,pm25,0.9,µg/m³,36.191261,-115.122931,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Clark County Department of Air Quality""}]"
Keene,Keene,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,0,µg/m³,42.930521,-72.272332,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Hampshire Dept. of Environmental Services""}]"
Flemington,New York-Northern New Jersey-Long Island,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,3.2,µg/m³,40.515251,-74.806755,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Rider University,Trenton-Ewing,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,10.7,µg/m³,40.283092,-74.742645,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Rutgers University,New York-Northern New Jersey-Long Island,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,3.2,µg/m³,40.462181,-74.429436,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Elizabeth Trailer,New York-Northern New Jersey-Long Island,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,4.8,µg/m³,40.641441,-74.208366,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Del Norte,Albuquerque,US,2017-02-25T19:00:00.000Z,2017-02-25T12:00:00-07:00,pm25,5.3,µg/m³,35.1353,-106.584702,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Albuquerque Environmental Health Department""}]"
Tramway,Albuquerque,US,2017-02-25T19:00:00.000Z,2017-02-25T12:00:00-07:00,pm25,3.4,µg/m³,35.185,-106.5077,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Albuquerque Environmental Health Department""}]"
LEGGETT,Rocky Mount,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,10,µg/m³,35.9889,-77.5867,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
HATTIEAVEN,Winston-Salem,US,2017-02-25T19:00:00.000Z,2017-02-25T14:00:00-05:00,pm25,4.2,µg/m³,36.1106,-80.2267,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Forsyth County Office of Environmental Assistance and Protection""}]"
